TP1: Wiretapping
sniff timeout = 1200 segs

----------Paquetes ARP capturados----------
Who has? ip 172.16.145.213, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.145.213, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.145.213, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.145.58, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.135.7, at mac b4:ef:39:46:25:ab
Who has? ip 172.16.145.74, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.135.7, at mac b4:ef:39:46:25:ab
Who has? ip 172.16.143.170, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.143.170, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.140.34, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.140.34, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.140.34, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.140.34, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.140.34, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.140.34, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.140.34, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.140.34, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.140.34, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.140.34, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.140.34, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.140.34, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.140.34, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.140.34, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.140.34, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.140.34, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.140.34, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.140.34, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.140.34, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.140.34, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.140.34, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.140.34, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.140.34, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.140.34, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.140.34, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.140.34, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.140.34, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.143.170, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.238, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.145.111, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.140.34, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.145.111, at mac 14:32:d1:b3:c4:5a
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.134.131, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.146.107, at mac 74:e2:8c:fd:09:c4
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.146.107, at mac 74:e2:8c:fd:09:c4
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.146.107, at mac 74:e2:8c:fd:09:c4
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.146.107, at mac 74:e2:8c:fd:09:c4
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.134.56, at mac 50:2d:1d:47:18:de
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.9, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.130, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.130, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.133.134, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
